table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
constant_status,"The statuses a report can hold, for reporting. Copy of the Status enumeration, with the plain-English definition shown to users and a flag for the statuses downstream consumers should skip.",description,3,character varying,60,NO,,Short human-readable name of the status.,NONE,N,
constant_status,"The statuses a report can hold, for reporting. Copy of the Status enumeration, with the plain-English definition shown to users and a flag for the statuses downstream consumers should skip.",ignore_downstream,4,boolean,,NO,false,"Whether downstream consumers should skip reports in this status. True for DUPLICATE, NOT_REPORTABLE, REOPENED and WAS_CLOSED - reports that would otherwise be double-counted or counted when they should not be. Anything aggregating reports should honour this.",NONE,N,
constant_status,"The statuses a report can hold, for reporting. Copy of the Status enumeration, with the plain-English definition shown to users and a flag for the statuses downstream consumers should skip.",definition,5,character varying,255,NO,,"Fuller plain-English explanation of what the status means, shown to users and useful when interpreting a status trail. Added in V1_46.",NONE,N,
constant_type,"The incident types a report can have, for reporting. Copy of the Type enumeration. Types are retired rather than deleted, because existing reports still reference them.",code,1,character varying,60,NO,,"The type code as stored in report.type and history.type, for example SELF_HARM or ASSAULT.",NONE,Y,
constant_type,"The incident types a report can have, for reporting. Copy of the Type enumeration. Types are retired rather than deleted, because existing reports still reference them.",sequence,2,integer,,NO,,Display order for the type.,NONE,N,
constant_type,"The incident types a report can have, for reporting. Copy of the Type enumeration. Types are retired rather than deleted, because existing reports still reference them.",description,3,character varying,255,NO,,Human-readable name of the type.,NONE,N,
constant_type,"The incident types a report can have, for reporting. Copy of the Type enumeration. Types are retired rather than deleted, because existing reports still reference them.",active,4,boolean,,YES,true,Whether the type can be chosen for new reports. Retired types stay in the table so existing reports still decode.,NONE,N,
constant_type,"The incident types a report can have, for reporting. Copy of the Type enumeration. Types are retired rather than deleted, because existing reports still reference them.",family_code,5,character varying,60,NO,,"The family this type belongs to, matching constant_type_family.code. Types were regrouped into families in V1_16 and their codes renamed to match, so codes on old and new reports differ.",NONE,N,
constant_type_family,"The families incident types are grouped into, for reporting. Copy of the TypeFamily enumeration. Introduced in V1_16, which also renamed type codes to match.",code,1,character varying,60,NO,,"The family code, as referenced by constant_type.family_code.",NONE,Y,
constant_type_family,"The families incident types are grouped into, for reporting. Copy of the TypeFamily enumeration. Introduced in V1_16, which also renamed type codes to match.",sequence,2,integer,,NO,,Display order for the family.,NONE,N,
constant_type_family,"The families incident types are grouped into, for reporting. Copy of the TypeFamily enumeration. Introduced in V1_16, which also renamed type codes to match.",description,3,character varying,255,NO,,Human-readable name of the family.,NONE,N,
constant_user_action,"The actions a user can take on a report, for reporting. Copy of the UserAction enumeration.",code,1,character varying,60,NO,,The action code as stored in correction_request.user_action and report.last_user_action.,NONE,Y,
constant_user_action,"The actions a user can take on a report, for reporting. Copy of the UserAction enumeration.",sequence,2,integer,,NO,,Display order for the action.,NONE,N,
constant_user_action,"The actions a user can take on a report, for reporting. Copy of the UserAction enumeration.",description,3,character varying,60,NO,,Human-readable name of the action.,NONE,N,
constant_user_type,"The kinds of user who can act on a report, for reporting. Copy of the UserType enumeration - a capacity someone acted in, not a job title.",code,1,character varying,60,NO,,The user type code as stored in correction_request.user_type: REPORTING_OFFICER or DATA_WARDEN.,NONE,Y,
constant_user_type,"The kinds of user who can act on a report, for reporting. Copy of the UserType enumeration - a capacity someone acted in, not a job title.",sequence,2,integer,,NO,,Display order for the user type.,NONE,N,
constant_user_type,"The kinds of user who can act on a report, for reporting. Copy of the UserType enumeration - a capacity someone acted in, not a job title.",description,3,character varying,60,NO,,Human-readable name of the user type.,NONE,N,
correction_request,"One request to change a report, or one recorded action taken on it. Despite the name this is the general trail of what people have asked for and done - a data warden sending a report back for more detail, a reporter resubmitting it, a report being marked as a duplicate. The newest row's user_action is mirrored onto report.last_user_action.",id,1,integer,,NO,nextval('correction_request_id_seq'::regclass),Primary key. Surrogate sequence value.,NONE,Y,
correction_request,"One request to change a report, or one recorded action taken on it. Despite the name this is the general trail of what people have asked for and done - a data warden sending a report back for more detail, a reporter resubmitting it, a report being marked as a duplicate. The newest row's user_action is mirrored onto report.last_user_action.",report_id,2,uuid,,NO,,The report this request concerns. Foreign key to report.id.,NONE,N,report
correction_request,"One request to change a report, or one recorded action taken on it. Despite the name this is the general trail of what people have asked for and done - a data warden sending a report back for more detail, a reporter resubmitting it, a report being marked as a duplicate. The newest row's user_action is mirrored onto report.last_user_action.",description_of_change,4,text,,NO,,"Free-text description of what was asked for or done, written by hand. Quotes and summarises the report's content, so assume it carries the same health, offending and third-party detail as the description itself.",SPECIAL-CATEGORY,N,
correction_request,"One request to change a report, or one recorded action taken on it. Despite the name this is the general trail of what people have asked for and done - a data warden sending a report back for more detail, a reporter resubmitting it, a report being marked as a duplicate. The newest row's user_action is mirrored onto report.last_user_action.",correction_requested_at,5,timestamp without time zone,,NO,,When the request was made or the action recorded.,NONE,N,
correction_request,"One request to change a report, or one recorded action taken on it. Despite the name this is the general trail of what people have asked for and done - a data warden sending a report back for more detail, a reporter resubmitting it, a report being marked as a duplicate. The newest row's user_action is mirrored onto report.last_user_action.",correction_requested_by,6,character varying,120,NO,,Username of the member of staff who made the request or took the action. Identifies a member of staff.,STAFF,N,
correction_request,"One request to change a report, or one recorded action taken on it. Despite the name this is the general trail of what people have asked for and done - a data warden sending a report back for more detail, a reporter resubmitting it, a report being marked as a duplicate. The newest row's user_action is mirrored onto report.last_user_action.",sequence,7,integer,,NO,0,Order of this request within the report's trail.,NONE,N,
correction_request,"One request to change a report, or one recorded action taken on it. Despite the name this is the general trail of what people have asked for and done - a data warden sending a report back for more detail, a reporter resubmitting it, a report being marked as a duplicate. The newest row's user_action is mirrored onto report.last_user_action.",location,8,character varying,20,YES,,Agency (prison) code or PECS region the requester was working in. Read with correction_requested_by it indicates where that member of staff was based. Nullable on older rows written before the column existed.,STAFF,N,
correction_request,"One request to change a report, or one recorded action taken on it. Despite the name this is the general trail of what people have asked for and done - a data warden sending a report back for more detail, a reporter resubmitting it, a report being marked as a duplicate. The newest row's user_action is mirrored onto report.last_user_action.",user_action,9,character varying,60,YES,,"What the user did, for example REQUEST_REVIEW, REQUEST_CORRECTION, RECALL or CLOSE. Values are in constant_user_action. Null on rows written before the column existed.",NONE,N,
correction_request,"One request to change a report, or one recorded action taken on it. Despite the name this is the general trail of what people have asked for and done - a data warden sending a report back for more detail, a reporter resubmitting it, a report being marked as a duplicate. The newest row's user_action is mirrored onto report.last_user_action.",original_report_reference,10,character varying,25,YES,,"Reference of the report this one was found to duplicate, recorded when it is marked as a duplicate. A report_reference rather than an id, and null on every other row.",NONE,N,
correction_request,"One request to change a report, or one recorded action taken on it. Despite the name this is the general trail of what people have asked for and done - a data warden sending a report back for more detail, a reporter resubmitting it, a report being marked as a duplicate. The newest row's user_action is mirrored onto report.last_user_action.",user_type,11,character varying,60,YES,,"Which kind of user acted: REPORTING_OFFICER or DATA_WARDEN. The two have different permissions, so this records the capacity someone acted in rather than their job title. Values are in constant_user_type. Null on rows written before the column existed.",NONE,N,
description_addendum,"Text added to a report after it was first submitted, in an ordered list. The original description is never edited: additions are appended here instead, so the record of what was said when is preserved. Read report.description followed by these rows in sequence to get the full account.",id,1,integer,,NO,nextval('description_addendum_id_seq'::regclass),Primary key. Surrogate sequence value.,NONE,Y,
description_addendum,"Text added to a report after it was first submitted, in an ordered list. The original description is never edited: additions are appended here instead, so the record of what was said when is preserved. Read report.description followed by these rows in sequence to get the full account.",report_id,2,uuid,,NO,,The report this addendum belongs to. Foreign key to report.id.,NONE,N,report
description_addendum,"Text added to a report after it was first submitted, in an ordered list. The original description is never edited: additions are appended here instead, so the record of what was said when is preserved. Read report.description followed by these rows in sequence to get the full account.",sequence,3,integer,,NO,,Order of this addendum within the report. Read in this order after report.description.,NONE,N,
description_addendum,"Text added to a report after it was first submitted, in an ordered list. The original description is never edited: additions are appended here instead, so the record of what was said when is preserved. Read report.description followed by these rows in sequence to get the full account.",text,4,text,,NO,,"The added text. Carries the same sensitivity as report.description - written by hand, and in practice describing injuries, health, offending and named third parties.",SPECIAL-CATEGORY,N,
description_addendum,"Text added to a report after it was first submitted, in an ordered list. The original description is never edited: additions are appended here instead, so the record of what was said when is preserved. Read report.description followed by these rows in sequence to get the full account.",created_at,5,timestamp without time zone,,NO,,When the addendum was added.,NONE,N,
description_addendum,"Text added to a report after it was first submitted, in an ordered list. The original description is never edited: additions are appended here instead, so the record of what was said when is preserved. Read report.description followed by these rows in sequence to get the full account.",created_by,6,character varying,120,NO,,Username of the member of staff who added it. Identifies a member of staff.,STAFF,N,
description_addendum,"Text added to a report after it was first submitted, in an ordered list. The original description is never edited: additions are appended here instead, so the record of what was said when is preserved. Read report.description followed by these rows in sequence to get the full account.",first_name,7,character varying,255,NO,,"First name of the member of staff who added it, snapshotted at the time.",STAFF,N,
description_addendum,"Text added to a report after it was first submitted, in an ordered list. The original description is never edited: additions are appended here instead, so the record of what was said when is preserved. Read report.description followed by these rows in sequence to get the full account.",last_name,8,character varying,255,NO,,"Last name of the member of staff who added it, snapshotted at the time.",STAFF,N,
historical_question,"A question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to question except that it hangs off history rather than report. Anything analysing answers over time needs to read both tables, or it will silently miss every report that has been retyped.",id,1,integer,,NO,nextval('historical_question_id_seq'::regclass),Primary key. Surrogate sequence value.,NONE,Y,
historical_question,"A question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to question except that it hangs off history rather than report. Anything analysing answers over time needs to read both tables, or it will silently miss every report that has been retyped.",history_id,2,integer,,NO,,The type-change snapshot this question belongs to. Foreign key to history.id - the equivalent of question.report_id one level removed.,NONE,N,history
historical_question,"A question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to question except that it hangs off history rather than report. Anything analysing answers over time needs to read both tables, or it will silently miss every report that has been retyped.",sequence,3,integer,,NO,0,Order the question was asked in.,NONE,N,
historical_question,"A question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to question except that it hangs off history rather than report. Anything analysing answers over time needs to read both tables, or it will silently miss every report that has been retyped.",code,4,character varying,60,NO,,Stable code for the question within the question set that applied at the time.,NONE,N,
historical_question,"A question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to question except that it hangs off history rather than report. Anything analysing answers over time needs to read both tables, or it will silently miss every report that has been retyped.",question,5,text,,NO,,The question as worded at the time. Form wording rather than an answer - see question.question.,NONE,N,
historical_question,"A question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to question except that it hangs off history rather than report. Anything analysing answers over time needs to read both tables, or it will silently miss every report that has been retyped.",additional_information,6,text,,YES,,"Free text the reporter added against the question. Written by hand, so assume it carries health, offending and third-party detail.",SPECIAL-CATEGORY,N,
historical_question,"A question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to question except that it hangs off history rather than report. Anything analysing answers over time needs to read both tables, or it will silently miss every report that has been retyped.",label,7,text,,NO,,"Display label for the question, as worded at the time. Form wording rather than an answer.",NONE,N,
historical_response,"An answer to a question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to response except that it hangs off historical_question. As sensitive as response, and as easy to miss: an extract that reads only response understates what a report contains.",id,1,integer,,NO,nextval('historical_response_id_seq'::regclass),Primary key. Surrogate sequence value.,NONE,Y,
historical_response,"An answer to a question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to response except that it hangs off historical_question. As sensitive as response, and as easy to miss: an extract that reads only response understates what a report contains.",historical_question_id,2,integer,,NO,,The historical question this answers. Foreign key to historical_question.id.,NONE,N,historical_question
historical_response,"An answer to a question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to response except that it hangs off historical_question. As sensitive as response, and as easy to miss: an extract that reads only response understates what a report contains.",sequence,3,integer,,NO,0,Order of this answer within the question's answers.,NONE,N,
historical_response,"An answer to a question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to response except that it hangs off historical_question. As sensitive as response, and as easy to miss: an extract that reads only response understates what a report contains.",response,4,text,,NO,,The answer as worded at the time. Records what happened in the incident about the people named on the report - see response.response.,SPECIAL-CATEGORY,N,
historical_response,"An answer to a question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to response except that it hangs off historical_question. As sensitive as response, and as easy to miss: an extract that reads only response understates what a report contains.",response_date,5,date,,YES,,"Date given as the answer, where the question asked for one. Null on answers that are not dates.",SPECIAL-CATEGORY,N,
historical_response,"An answer to a question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to response except that it hangs off historical_question. As sensitive as response, and as easy to miss: an extract that reads only response understates what a report contains.",additional_information,6,text,,YES,,"Free text the reporter added against this answer. Written by hand, so assume it carries health, offending and third-party detail.",SPECIAL-CATEGORY,N,
historical_response,"An answer to a question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to response except that it hangs off historical_question. As sensitive as response, and as easy to miss: an extract that reads only response understates what a report contains.",recorded_at,7,timestamp without time zone,,NO,CURRENT_TIMESTAMP,"When the answer was recorded - the original recording, not the snapshot.",NONE,N,
historical_response,"An answer to a question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to response except that it hangs off historical_question. As sensitive as response, and as easy to miss: an extract that reads only response understates what a report contains.",recorded_by,8,character varying,120,NO,,Username of the member of staff who recorded the answer. Identifies a member of staff.,STAFF,N,
historical_response,"An answer to a question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to response except that it hangs off historical_question. As sensitive as response, and as easy to miss: an extract that reads only response understates what a report contains.",code,9,character varying,60,NO,,Stable code for the answer within the option set that applied at the time. Discloses what was answered.,SPECIAL-CATEGORY,N,
historical_response,"An answer to a question from a question set the report no longer uses, preserved when its type was changed. Identical in shape to response except that it hangs off historical_question. As sensitive as response, and as easy to miss: an extract that reads only response understates what a report contains.",label,10,text,,NO,,"Display label for the answer, as worded at the time. Discloses what was answered.",SPECIAL-CATEGORY,N,
history,"A snapshot of the question and answer set as it stood before the report's type was changed. Changing the type changes which questions apply, so the previous set is preserved here with its answers in historical_question and historical_response rather than being deleted. One row per type change, so a report retyped twice has two.",id,1,integer,,NO,nextval('history_id_seq'::regclass),Primary key. Surrogate sequence value.,NONE,Y,
history,"A snapshot of the question and answer set as it stood before the report's type was changed. Changing the type changes which questions apply, so the previous set is preserved here with its answers in historical_question and historical_response rather than being deleted. One row per type change, so a report retyped twice has two.",report_id,2,uuid,,NO,,The report this snapshot belongs to. Foreign key to report.id.,NONE,N,report
history,"A snapshot of the question and answer set as it stood before the report's type was changed. Changing the type changes which questions apply, so the previous set is preserved here with its answers in historical_question and historical_response rather than being deleted. One row per type change, so a report retyped twice has two.",type,3,character varying,60,NO,,"The incident type the report held before it was changed - so a report now typed ASSAULT may have a history row typed SELF_HARM. Carries the same sensitivity as report.type, and note that it discloses what the incident was once believed to be. Values are in constant_type.",SPECIAL-CATEGORY,N,
history,"A snapshot of the question and answer set as it stood before the report's type was changed. Changing the type changes which questions apply, so the previous set is preserved here with its answers in historical_question and historical_response rather than being deleted. One row per type change, so a report retyped twice has two.",changed_at,4,timestamp without time zone,,NO,,"When the type was changed, and therefore when this snapshot was taken.",NONE,N,
history,"A snapshot of the question and answer set as it stood before the report's type was changed. Changing the type changes which questions apply, so the previous set is preserved here with its answers in historical_question and historical_response rather than being deleted. One row per type change, so a report retyped twice has two.",changed_by,5,character varying,120,NO,,Username of the member of staff who changed the type. Identifies a member of staff.,STAFF,N,
prisoner_involvement,"One prisoner named on a report, with how they were involved and what happened to them afterwards. Names are copied in at the time of writing rather than resolved live, so they are a snapshot and may differ from the prisoner's current record. A report may name several prisoners in different roles, and the whole row is personal data about the prisoner it names.",id,1,integer,,NO,nextval('prisoner_involvement_id_seq'::regclass),Primary key. Surrogate sequence value.,NONE,Y,
prisoner_involvement,"One prisoner named on a report, with how they were involved and what happened to them afterwards. Names are copied in at the time of writing rather than resolved live, so they are a snapshot and may differ from the prisoner's current record. A report may name several prisoners in different roles, and the whole row is personal data about the prisoner it names.",report_id,2,uuid,,NO,,The report this involvement belongs to. Foreign key to report.id.,NONE,N,report
prisoner_involvement,"One prisoner named on a report, with how they were involved and what happened to them afterwards. Names are copied in at the time of writing rather than resolved live, so they are a snapshot and may differ from the prisoner's current record. A report may name several prisoners in different roles, and the whole row is personal data about the prisoner it names.",prisoner_number,3,character varying,7,NO,,"NOMIS offender number (noms id) of the prisoner. The link that makes this row, and much of the report, personal data about that prisoner.",PERSONAL,N,
prisoner_involvement,"One prisoner named on a report, with how they were involved and what happened to them afterwards. Names are copied in at the time of writing rather than resolved live, so they are a snapshot and may differ from the prisoner's current record. A report may name several prisoners in different roles, and the whole row is personal data about the prisoner it names.",prisoner_role,4,character varying,60,NO,,"How the prisoner was involved, for example VICTIM, SUSPECTED_PERPETRATOR, ACTIVE_INVOLVEMENT or PRESENT_AT_SCENE. On an assault or a find of illicit items, recording someone as a suspected perpetrator is an allegation of offending in custody against a named person - criminal offence data under Article 10, which DPA 2018 s.11(2) extends to alleged offences. Values are in constant_prisoner_role.",SPECIAL-CATEGORY,N,
prisoner_involvement,"One prisoner named on a report, with how they were involved and what happened to them afterwards. Names are copied in at the time of writing rather than resolved live, so they are a snapshot and may differ from the prisoner's current record. A report may name several prisoners in different roles, and the whole row is personal data about the prisoner it names.",outcome,5,character varying,60,YES,,"What happened to the prisoner as a result, for example PLACED_ON_REPORT, CHARGED_BY_POLICE, LOCAL_INVESTIGATION or TRANSFER. Records criminal or disciplinary proceedings against a named person. Null where no outcome has been recorded. Values are in constant_prisoner_outcome.",SPECIAL-CATEGORY,N,
prisoner_involvement,"One prisoner named on a report, with how they were involved and what happened to them afterwards. Names are copied in at the time of writing rather than resolved live, so they are a snapshot and may differ from the prisoner's current record. A report may name several prisoners in different roles, and the whole row is personal data about the prisoner it names.",comment,6,text,,YES,,"Free-text note on this prisoner's involvement. Unstructured and written by hand - in practice describes injuries, behaviour, health and other people, so treat as special category regardless of what any individual comment happens to say.",SPECIAL-CATEGORY,N,
prisoner_involvement,"One prisoner named on a report, with how they were involved and what happened to them afterwards. Names are copied in at the time of writing rather than resolved live, so they are a snapshot and may differ from the prisoner's current record. A report may name several prisoners in different roles, and the whole row is personal data about the prisoner it names.",sequence,7,integer,,NO,0,Order of this prisoner within the report's list. Display order only.,NONE,N,
prisoner_involvement,"One prisoner named on a report, with how they were involved and what happened to them afterwards. Names are copied in at the time of writing rather than resolved live, so they are a snapshot and may differ from the prisoner's current record. A report may name several prisoners in different roles, and the whole row is personal data about the prisoner it names.",first_name,8,character varying,255,NO,,"Prisoner's first name as at the time the report was written. A snapshot copied from the prisoner search API, not kept in step afterwards.",PERSONAL,N,
prisoner_involvement,"One prisoner named on a report, with how they were involved and what happened to them afterwards. Names are copied in at the time of writing rather than resolved live, so they are a snapshot and may differ from the prisoner's current record. A report may name several prisoners in different roles, and the whole row is personal data about the prisoner it names.",last_name,9,character varying,255,NO,,"Prisoner's last name as at the time the report was written. A snapshot copied from the prisoner search API, not kept in step afterwards.",PERSONAL,N,
question,"One question asked on a report, in the order it was asked. Which questions apply is decided by report.type; the wording is copied in at the time so a later change to the question set does not rewrite existing reports. Answers hang off this in response - a question with no response rows was asked but not answered.",id,1,integer,,NO,nextval('question_id_seq'::regclass),Primary key. Surrogate sequence value.,NONE,Y,
question,"One question asked on a report, in the order it was asked. Which questions apply is decided by report.type; the wording is copied in at the time so a later change to the question set does not rewrite existing reports. Answers hang off this in response - a question with no response rows was asked but not answered.",report_id,2,uuid,,NO,,"The report this question belongs to. Foreign key to report.id, and unique with code - a question is asked at most once per report.",NONE,N,report
question,"One question asked on a report, in the order it was asked. Which questions apply is decided by report.type; the wording is copied in at the time so a later change to the question set does not rewrite existing reports. Answers hang off this in response - a question with no response rows was asked but not answered.",sequence,3,integer,,NO,0,Order the question was asked in.,NONE,N,
question,"One question asked on a report, in the order it was asked. Which questions apply is decided by report.type; the wording is copied in at the time so a later change to the question set does not rewrite existing reports. Answers hang off this in response - a question with no response rows was asked but not answered.",code,4,character varying,60,NO,,"Stable code for the question within the incident type's question set. The join key for anyone analysing answers across reports - the wording changes, the code does not.",NONE,N,
question,"One question asked on a report, in the order it was asked. Which questions apply is decided by report.type; the wording is copied in at the time so a later change to the question set does not rewrite existing reports. Answers hang off this in response - a question with no response rows was asked but not answered.",question,5,text,,NO,,"The question as worded when the report was written. Form wording, identical for every report of that type and derivable from report.type, so not personal data in itself - what was answered is in response.",NONE,N,
question,"One question asked on a report, in the order it was asked. Which questions apply is decided by report.type; the wording is copied in at the time so a later change to the question set does not rewrite existing reports. Answers hang off this in response - a question with no response rows was asked but not answered.",additional_information,6,text,,YES,,"Free text the reporter added against the question rather than against a specific answer. Written by hand, so assume it carries health, offending and third-party detail.",SPECIAL-CATEGORY,N,
question,"One question asked on a report, in the order it was asked. Which questions apply is decided by report.type; the wording is copied in at the time so a later change to the question set does not rewrite existing reports. Answers hang off this in response - a question with no response rows was asked but not answered.",label,7,text,,NO,,"Display label for the question, as worded when the report was written. Form wording rather than an answer - see question.question.",NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",id,1,uuid,,NO,,"Primary key. Time-ordered UUID v7, so insert order matches id order. Internal - the reference people quote is report_reference.",NONE,Y,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",report_reference,3,character varying,25,NO,,"Human-readable reference for the report, unique across the service. Known as the ""incident number"" in NOMIS, and the identifier staff quote to each other. Identifies an incident, not a person.",NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",title,4,text,,NO,,"Short title for the incident, written by the reporter. Free text, and in practice often names people or summarises what happened, so it carries the same sensitivity as the description despite being short.",SPECIAL-CATEGORY,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",description,5,text,,NO,,"The reporter's account of what happened. Unstructured and unbounded, and the single richest source of sensitive data in the schema - it routinely describes injuries, self-harm, health treatment, offending and third parties by name. Later additions are appended as rows in description_addendum rather than edited into this column.",SPECIAL-CATEGORY,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",location,6,character varying,20,NO,,"Agency (prison) code where the incident happened. Read with prisoner_involvement it indicates where those prisoners were held at the time. Renamed from prison_id in V1_2 and widened, because PECS regions are also valid values here - a report is not always tied to an establishment.",PERSONAL,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",type,7,character varying,60,NO,,"What kind of incident this is, for example SELF_HARM, DEATH_OTHER, ASSAULT or FIND_OF_ILLICIT_ITEMS. Drives which questions are asked. This is Article 9 or Article 10 data about everyone named on the report whichever value it holds - that a report exists and is typed SELF_HARM discloses health data about the prisoner it concerns. Values are listed in constant_type and grouped by constant_type_family.",SPECIAL-CATEGORY,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",source,8,character varying,5,NO,'DPS'::character varying,Where the report was first created: DPS or NOMIS. Reports migrated or synchronised from NOMIS carry NOMIS.,NONE,N,
report,"One incident report. The aggregate root: the people involved, the structured question and answer set, the correction requests and the status trail all hang off it. Reports are created in DPS or synchronised from NOMIS, and move through a status workflow from DRAFT to CLOSED. Changing a report's type snapshots the previous question set into history rather than discarding it.",status,9,character varying,60,NO,,"Where the report has got to in the workflow, for example DRAFT, AWAITING_REVIEW, ON_HOLD, NEEDS_UPDATING, CLOSED or DUPLICATE. Values and their meanings are in constant_status, which also records which statuses downstream consumers should ignore.",NONE,N,
